album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Bhakti Rasaamrit,1,50EPCBTfBf5bLED35mfL1o,Pranam Mantra & Yaad Guru,spotify:track:50EPCBTfBf5bLED35mfL1o,0.89,0.546,0.447,0,0.623,-10.43,0.0508,84.756,0.611,12
Bhakti Rasaamrit,2,0rEieVP93wWQArxyThjDnX,Radharas Bihari,spotify:track:0rEieVP93wWQArxyThjDnX,0.917,0.601,0.499,0.00012,0.159,-8.843,0.0322,141.04,0.647,12
Bhakti Rasaamrit,3,4Nz9znlUbBG5VwJBCUE8uh,Mohe Lagi Lagan,spotify:track:4Nz9znlUbBG5VwJBCUE8uh,0.864,0.51,0.493,2.48E-06,0.236,-9.948,0.0658,80.475,0.596,11
Bhakti Rasaamrit,4,5sLyxsnPvm5TscnMuZb7zH,Krishna Bhakti Ki Jyoti,spotify:track:5sLyxsnPvm5TscnMuZb7zH,0.882,0.698,0.504,0,0.0714,-9.195,0.0573,139.417,0.747,10
Bhakti Rasaamrit,5,0nUCDzetV7s8hCyPojkPKV,Bhakti Rasamrit (Doha),spotify:track:0nUCDzetV7s8hCyPojkPKV,0.812,0.551,0.29,0,0.0653,-12.02,0.0313,82.62,0.627,10
Bhakti Rasaamrit,6,12YuT4CcKRCDBpx5pWlT9q,Hey Govind Hey Gopal,spotify:track:12YuT4CcKRCDBpx5pWlT9q,0.925,0.455,0.534,0.000131,0.168,-9.391,0.034,129.923,0.774,10
Bhakti Rasaamrit,7,2VqsB94IweQUW07sinmZJR,Jaya Gopala Shyam Lala,spotify:track:2VqsB94IweQUW07sinmZJR,0.875,0.591,0.605,4.62E-06,0.538,-9.085,0.038,80.373,0.822,9
Bhakti Rasaamrit,8,0mJqPK8FbovudapRJ6ZdJN,Shlok & Maha Mantra,spotify:track:0mJqPK8FbovudapRJ6ZdJN,0.611,0.438,0.666,0,0.209,-8.191,0.0599,120.435,0.61,11
Bhakti Rasaamrit,9,4HJiHFCwdlSgNBNGoBhdnS,Samapti Shlok,spotify:track:4HJiHFCwdlSgNBNGoBhdnS,0.958,0.229,0.238,0,0.0833,-11.277,0.0384,79.458,0.103,8
Prabhupada Kripa,1,3TcuMowjV7jz6DdTvtGzHH,Srila Prabhupad Pranam,spotify:track:3TcuMowjV7jz6DdTvtGzHH,0.733,0.525,0.514,0,0.152,-9.793,0.0419,86.895,0.857,12
Prabhupada Kripa,2,7wV9EdQZX0oTmaWBOx4Dwm,Srila Prabhupada Vandana,spotify:track:7wV9EdQZX0oTmaWBOx4Dwm,0.692,0.499,0.517,0,0.143,-9.545,0.0402,86.679,0.579,12
Prabhupada Kripa,3,0BIha7GHxXryREUggnQyac,Sri Pancha Tattva Pranam,spotify:track:0BIha7GHxXryREUggnQyac,0.99,0.412,0.131,1.18E-05,0.105,-11.901,0.0326,70.198,0.176,11
Prabhupada Kripa,4,4nsTZcEBvIluJO8TorCxSp,Hare Krishna Kirtan,spotify:track:4nsTZcEBvIluJO8TorCxSp,0.592,0.45,0.564,0,0.161,-9.407,0.0534,78.093,0.898,17
Prabhupada Kripa,5,3rhnxdMLH2nQa1ir8XLmrg,Kirtan Karke Tihara,spotify:track:3rhnxdMLH2nQa1ir8XLmrg,0.836,0.632,0.44,1.08E-06,0.27,-10.973,0.0414,71.842,0.65,11
Prabhupada Kripa,6,4rJkmeOq04WS8DBL4uVAUs,Girdhari Re,spotify:track:4rJkmeOq04WS8DBL4uVAUs,0.796,0.498,0.462,0,0.207,-10.004,0.0352,149.112,0.787,11
Prabhupada Kripa,7,0s6FmpVFS7ggzLJmxIb1Yy,Sri Sri Radha Rasbihari Aarti,spotify:track:0s6FmpVFS7ggzLJmxIb1Yy,0.784,0.628,0.663,0,0.0364,-8.173,0.0276,98.968,0.922,16
Prabhupada Kripa,8,31oT5BD4SAuPId86dJoGkt,Jaiy Radha Madhav,spotify:track:31oT5BD4SAuPId86dJoGkt,0.811,0.602,0.557,0,0.0802,-9.674,0.0411,81.947,0.606,9
Prabhupada Kripa,9,05O2KRxPPlXroMdjCHGURT,Radhe Radhe Shyamal Pyari,spotify:track:05O2KRxPPlXroMdjCHGURT,0.821,0.54,0.439,0,0.311,-9.098,0.0325,143.231,0.635,11
Prabhupada Kripa,10,6GCedIPixcd3XB5Fx16OhL,Harer Nama Eva Kevalam,spotify:track:6GCedIPixcd3XB5Fx16OhL,0.896,0.302,0.189,0,0.107,-9.563,0.0442,78.947,0.181,9
Prabhupada Kripa,11,4a3q6SgtQOY7Yp3DQrKGBx,Hare Krishna Krishna Kirtan,spotify:track:4a3q6SgtQOY7Yp3DQrKGBx,0.509,0.354,0.607,0,0.616,-9.468,0.0325,92.185,0.903,10
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,1,2dpMVY3LuASYIcM9anyXMZ,Aarti Kije Hanuman Lala Ki (Aarti Bajrang Bali Ki),spotify:track:2dpMVY3LuASYIcM9anyXMZ,0.605,0.512,0.704,0,0.315,-7.693,0.0301,88.607,0.847,4
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,2,6H6ZbLYNqE55XU4dyZEMZb,Aarti Kije Shri Raghuvar Ki (Aarti Shri Ram Ji Ki),spotify:track:6H6ZbLYNqE55XU4dyZEMZb,0.724,0.429,0.484,0,0.101,-14.998,0.0691,131.17,0.781,16
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,3,3a7fBwZE3qNZrjqXocNLOh,Aarti Kunjbihari Ki Shri Girdhar Krishna Murari Ki,spotify:track:3a7fBwZE3qNZrjqXocNLOh,0.804,0.61,0.651,0,0.236,-7.874,0.0734,126.09,0.854,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,4,77t7qpj3nWUPteZvhxuxfq,Aarti Sai Baba Saukhyadatara Jeeva - Shirdi Original Aarti,spotify:track:77t7qpj3nWUPteZvhxuxfq,0.435,0.592,0.831,0,0.235,-5.364,0.124,180.193,0.799,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,5,6mS0MhYstIqT5yfTLgwr60,Aisi Laagi Lagan - Krishna Meera Bhajan,spotify:track:6mS0MhYstIqT5yfTLgwr60,0.174,0.735,0.591,0,0.057,-10.284,0.129,147.968,0.856,4
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,6,5Vav4V9xivMGNyLnAx7V2D,Ambe Tu Hai Jagdambe Kaali - Maa Durga Aarti,spotify:track:5Vav4V9xivMGNyLnAx7V2D,0.595,0.63,0.76,0,0.241,-5.735,0.0387,89.006,0.929,3
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,7,0mZ7bXkctW8YIk18ZuDtzC,Barsane Wali Radhe,spotify:track:0mZ7bXkctW8YIk18ZuDtzC,0.238,0.687,0.872,0,0.356,-6.762,0.046,104.997,0.848,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,8,5lPpcxBbeXXbFn4lTlNbgX,Bhor Bhayi Din Chadh Gaya (Maa Amba Ki Aarti),spotify:track:5lPpcxBbeXXbFn4lTlNbgX,0.304,0.691,0.959,0,0.12,-3.478,0.128,87.038,0.671,2
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,9,00pee038E0VpyDWkt4YzY6,Daampatya Sukhapraptarthya Mantra (For Happy Married Life),spotify:track:00pee038E0VpyDWkt4YzY6,0.828,0.354,0.357,9.12E-05,0.339,-9.574,0.0315,110.135,0.133,4
Prarthana 51 Best of Divine Spiritual Aartis Bhajans Mantras Shloka and Dhuni,10,1DcdaEr3Uy0ENf3WVjE7xj,Deerghaayu Praapti Mantra (For Long and Healthy Life),spotify:track:1DcdaEr3Uy0ENf3WVjE7xj,0.89,0.393,0.25,4.92E-06,0.231,-8.749,0.0326,82.288,0.38,2
