,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Hits of Lakhbir Singh Lakkha Vol.1,1,3DCY3JPyV5slPMS8v0OfvJ,Bole Shri Krishna Arjun Se ( Geeta Ka Gyan),spotify:track:3DCY3JPyV5slPMS8v0OfvJ,0.952,0.46,0.878,0.0169,0.41,-4.704,0.149,101.121,0.709,15
1,Hits of Lakhbir Singh Lakkha Vol.1,2,2TQX9WDma3MMZifWzlr3Es,Gopal Soona Soona,spotify:track:2TQX9WDma3MMZifWzlr3Es,0.909,0.567,0.763,0.000653,0.197,-5.456,0.0447,97.91,0.589,11
2,Hits of Lakhbir Singh Lakkha Vol.1,3,45FPNDoEzlXFpqkrFyHOVC,Girdhar Mere Mausam Aaya,spotify:track:45FPNDoEzlXFpqkrFyHOVC,0.787,0.406,0.92,2e-06,0.463,-3.447,0.121,180.843,0.923,9
3,Hits of Lakhbir Singh Lakkha Vol.1,4,1b3639ejeOz4iajJd1lJQK,Jhoole Radha Nand Kishor,spotify:track:1b3639ejeOz4iajJd1lJQK,0.893,0.439,0.922,0.000102,0.484,-2.16,0.0734,84.338,0.913,9
4,Hits of Lakhbir Singh Lakkha Vol.1,5,4UIzQmrNzct5OZHgZwk8g6,Baji Shyam Ki Bansuriya,spotify:track:4UIzQmrNzct5OZHgZwk8g6,0.945,0.367,0.768,0.000345,0.694,-5.621,0.0626,161.364,0.915,8
5,Hits of Lakhbir Singh Lakkha Vol.1,6,2buxikgIUV66ZHFJeRHHA8,Bada Zulam Dhaye Re,spotify:track:2buxikgIUV66ZHFJeRHHA8,0.969,0.447,0.851,0.0471,0.167,-5.048,0.178,173.665,0.924,7
6,Hits of Lakhbir Singh Lakkha Vol.1,7,1jDeoCgoYuBIwTLl9LvHBE,Hai Kaun Bada Tumse Maiya,spotify:track:1jDeoCgoYuBIwTLl9LvHBE,0.818,0.433,0.868,1.58e-06,0.27,-3.751,0.0456,142.129,0.622,6
7,Hits of Lakhbir Singh Lakkha Vol.1,8,3aWrJUVoqVc1DwEA8Z2Ujx,Maiya Meri Laaj Rakh Le,spotify:track:3aWrJUVoqVc1DwEA8Z2Ujx,0.854,0.638,0.836,0.00015,0.265,-3.286,0.0385,158.594,0.83,6
8,Hits of Lakhbir Singh Lakkha Vol.1,9,5kI04F6N1xWYcIU4sOY6FW,Sherowali Ambe Bhawani,spotify:track:5kI04F6N1xWYcIU4sOY6FW,0.724,0.655,0.932,4.08e-06,0.868,-1.064,0.0419,106.476,0.861,8
9,Hits of Lakhbir Singh Lakkha Vol.1,10,4UvVWd9OJXxCkbAxwBVsDN,Ambe Maiya Teri Meherbani Rahe,spotify:track:4UvVWd9OJXxCkbAxwBVsDN,0.755,0.493,0.847,3.38e-05,0.738,-3.131,0.0559,100.856,0.838,5
10,Hits of Lakhbir Singh Lakkha Vol.1,11,3gjC6Fhx5lijxEpbiDjFYX,De De Thoda Pyar,spotify:track:3gjC6Fhx5lijxEpbiDjFYX,0.908,0.548,0.747,0.000169,0.456,-3.682,0.0414,82.205,0.755,6
11,Hits of Lakhbir Singh Lakkha Vol.1,12,5Ez91Ur5zPjDcqQtYhLVjE,Kashmir Ki Vaadi Mein,spotify:track:5Ez91Ur5zPjDcqQtYhLVjE,0.937,0.469,0.622,2.44e-06,0.456,-3.878,0.0332,100.151,0.504,5
12,Hits of Lakhbir Singh Lakkha Vol.1,13,2PbCXWqJATOkBsc0a3OXd0,Dhool Maa Ke Charno Ki,spotify:track:2PbCXWqJATOkBsc0a3OXd0,0.752,0.587,0.873,0.00288,0.227,-1.91,0.041,94.487,0.592,4
13,Hits of Lakhbir Singh Lakkha Vol.1,14,64F2W9dK0SetjzalofpjrW,Mharo Peer Bado Balwan,spotify:track:64F2W9dK0SetjzalofpjrW,0.789,0.458,0.759,2.31e-05,0.853,-7.825,0.0917,134.706,0.878,4
14,Hits of Lakhbir Singh Lakkha Vol.1,15,5SDN5GZaztTnxwQXRrfiA1,Runiche Wala Khamma Khamma,spotify:track:5SDN5GZaztTnxwQXRrfiA1,0.746,0.559,0.716,0.0,0.832,-7.119,0.0514,98.611,0.908,4
15,Hits of Lakhbir Singh Lakkha Vol.1,16,2JvmaeQU9GhWnBkFYvWAb7,Sunle Baba Ramdev Ji,spotify:track:2JvmaeQU9GhWnBkFYvWAb7,0.693,0.439,0.805,0.0,0.882,-6.359,0.128,158.316,0.864,4
16,Hits of Lakhbir Singh Lakkha Vol.1,17,5myUBoxopbCOhmXtNUMEVT,Mainade Ra Lal,spotify:track:5myUBoxopbCOhmXtNUMEVT,0.825,0.509,0.742,2.18e-06,0.194,-6.672,0.0344,115.212,0.807,4
17,Hits of Lakhbir Singh Lakkha Vol.1,18,799fhTcEhdbfWPiu2qA4GA,Baba Dham Runicho Tharo,spotify:track:799fhTcEhdbfWPiu2qA4GA,0.78,0.464,0.8,2.98e-05,0.497,-6.506,0.169,157.395,0.923,4
18,Hits of Lakhbir Singh Lakkha Vol.1,19,3DThQGfrb5OYZQBdXpTFmK,Bulave Baba Ram Sa Peer,spotify:track:3DThQGfrb5OYZQBdXpTFmK,0.736,0.669,0.845,1.21e-05,0.663,-7.001,0.111,116.996,0.934,3
19,Hits of Lakhbir Singh Lakkha Vol.1,20,432COxhKylYsQtr50RdEbJ,Runicha Ro Dev,spotify:track:432COxhKylYsQtr50RdEbJ,0.773,0.572,0.83,0.000175,0.871,-7.188,0.0829,122.487,0.854,3
20,Yogini Ekadashi Special Bhajans,1,3PltQqSxh7O454okPchi8G,"Siddhi Vinayak Jai Ganpati (From ""Ganpati Padharo"")",spotify:track:3PltQqSxh7O454okPchi8G,0.672,0.762,0.915,0.0,0.0408,-1.276,0.0811,111.055,0.914,10
21,Yogini Ekadashi Special Bhajans,2,1N97ZNxp0493V1uaIxKe3i,"Shree Vishnu Amritwani (From ""Shree Vishnu Amritwani"")",spotify:track:1N97ZNxp0493V1uaIxKe3i,0.667,0.621,0.52,0.0,0.0414,-11.479,0.12,144.677,0.964,2
22,Yogini Ekadashi Special Bhajans,3,1f6xayNa9npdIrH6sYdh3C,"Jai Lakshmi Ramna (From ""Om Jai Jagdish Hare (Aarti Sangrah)"")",spotify:track:1f6xayNa9npdIrH6sYdh3C,0.803,0.632,0.75,0.0,0.365,-3.353,0.0333,96.499,0.81,6
23,Yogini Ekadashi Special Bhajans,4,1dZpo6bNmUrTAkzhdP2LXa,"Dhun (Hari Bol Hari Bol) [From ""Bhajan Sandhya""]",spotify:track:1dZpo6bNmUrTAkzhdP2LXa,0.939,0.461,0.527,0.149,0.126,-6.431,0.0355,147.837,0.614,1
24,Yogini Ekadashi Special Bhajans,5,07keF8MNst5f4S4f0Rl7IE,"Hari Naam Bin Kaun Tare (From ""Radha Govind Boliye"")",spotify:track:07keF8MNst5f4S4f0Rl7IE,0.169,0.458,0.427,1.33e-06,0.138,-15.449,0.0322,83.998,0.665,1
25,Sawariyo Baitho Hain,1,20uD6X4ukQPH43HjJdPTs4,Are Dwarpalo Kaniya Se,spotify:track:20uD6X4ukQPH43HjJdPTs4,0.425,0.372,0.633,0.0,0.284,-8.572,0.0827,82.83,0.802,35
26,Sawariyo Baitho Hain,2,15GH6mmxSygZzMKejDPQYW,Main Nikla Jab Gharse,spotify:track:15GH6mmxSygZzMKejDPQYW,0.533,0.396,0.875,0.0,0.359,-5.503,0.23,74.819,0.664,5
27,Sawariyo Baitho Hain,3,7AsjVM0GEVCquGcE4aZCfk,Mil Gaya Sawariye Ka Dwara,spotify:track:7AsjVM0GEVCquGcE4aZCfk,0.565,0.47,0.897,0.0,0.444,-5.445,0.28,82.581,0.742,1
28,Sawariyo Baitho Hain,4,5KmuxvRql8YFxacyunP3R3,Saudo Tol De,spotify:track:5KmuxvRql8YFxacyunP3R3,0.684,0.386,0.586,0.0,0.77,-8.122,0.0955,94.23,0.402,1
29,Sawariyo Baitho Hain,5,5f85xltTSax6l2zW0ueU4k,Sawariyo Baitho Hai,spotify:track:5f85xltTSax6l2zW0ueU4k,0.601,0.5,0.829,3.39e-06,0.339,-5.451,0.196,93.235,0.897,6
30,Sawariyo Baitho Hain,6,6VV7QxkJOUoJeeJnMDnYf3,Thadi Bhar Kar Lai Khichdo,spotify:track:6VV7QxkJOUoJeeJnMDnYf3,0.559,0.426,0.65,0.0,0.885,-7.72,0.0501,136.253,0.883,6
31,Sai Ek Farishta,1,0hOwRQqWWSyfKapp8iunt4,Sai Ek Farishta,spotify:track:0hOwRQqWWSyfKapp8iunt4,0.0564,0.696,0.845,0.0,0.111,-3.53,0.0646,118.015,0.893,2
32,Sai Ek Farishta,2,5c4b1WqiLwLmO4bD1bl4pj,Gaura Ke Laal,spotify:track:5c4b1WqiLwLmO4bD1bl4pj,0.37,0.645,0.883,9.52e-06,0.116,-4.462,0.0419,150.12,0.899,0
33,Sai Ek Farishta,3,3c6uaotucDLaaJ1VuZeuif,Sai Baba Ko,spotify:track:3c6uaotucDLaaJ1VuZeuif,0.321,0.538,0.764,4.11e-06,0.0585,-4.283,0.0412,176.007,0.934,0
34,Sai Ek Farishta,4,6URpA93TFkhpe1yUkIgOrX,Sai Teri Judaai,spotify:track:6URpA93TFkhpe1yUkIgOrX,0.467,0.621,0.704,0.0,0.0811,-5.701,0.0316,146.014,0.71,0
35,Sai Ek Farishta,5,2VulxFoIYDS4Rvj723Kvv7,Sai Tere Naam Ke,spotify:track:2VulxFoIYDS4Rvj723Kvv7,0.189,0.64,0.915,0.0,0.109,-5.243,0.16,150.008,0.789,0
36,Sai Ek Farishta,6,27KyxJvW05A79Gs3BIPH9c,Sai Da Darbar,spotify:track:27KyxJvW05A79Gs3BIPH9c,0.19,0.649,0.856,0.0,0.0557,-5.717,0.0667,139.895,0.932,0
37,Sai Ek Farishta,7,0QcqEpUanB0quZZUTUZzv7,Sai Maula Mere,spotify:track:0QcqEpUanB0quZZUTUZzv7,0.274,0.523,0.86,0.0,0.106,-5.374,0.0441,167.877,0.972,0
38,Sai Ek Farishta,8,1TOhWphcdwtgycNAmpRBS0,Sai Kya Karun,spotify:track:1TOhWphcdwtgycNAmpRBS0,0.261,0.636,0.861,0.0,0.167,-4.345,0.0559,82.009,0.827,0
39,Sai Ek Farishta,9,4sQ0pxVNL6c3bJLkvcgAUL,Koi Aaya Hai,spotify:track:4sQ0pxVNL6c3bJLkvcgAUL,0.478,0.598,0.797,4.58e-06,0.0507,-4.748,0.0424,155.992,0.879,0
