,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Krishan Bhajan,1,4x4Kex07TZPMbTdaQjSlUN,Radhey Radhey Japa Karo,spotify:track:4x4Kex07TZPMbTdaQjSlUN,0.402,0.591,0.799,2.59E-05,0.294,-7.907,0.0544,132.223,0.919,0
1,Krishan Bhajan,2,7zM9z8J2xLrcq89rw9Wv6H,Vrindavan Dham Apar Jape,spotify:track:7zM9z8J2xLrcq89rw9Wv6H,0.318,0.495,0.827,0,0.16,-3.477,0.155,143.488,0.672,0
2,Krishan Bhajan,3,23Z9CEzfpspiXqBfl2j2JR,Mujhe Charno Se Lagale,spotify:track:23Z9CEzfpspiXqBfl2j2JR,0.39,0.511,0.583,0,0.11,-9.615,0.0448,81.367,0.604,0
3,Krishan Bhajan,4,2cClA8GIQpr9nwJvYOq9gi,Gobind Mero Hai,spotify:track:2cClA8GIQpr9nwJvYOq9gi,0.659,0.343,0.566,0,0.0995,-10.578,0.0389,81.969,0.833,0
4,Krishan Bhajan,5,4mqRg4rI6dR0GXe7OVl9SL,Dhara To Bah Rahi,spotify:track:4mqRg4rI6dR0GXe7OVl9SL,0.425,0.481,0.887,6.42E-05,0.957,-6.695,0.0668,129.297,0.872,0
6,Krishan Bhajan,7,1ao5ptPwV7AQRUkkxP3DgA,Murli Bajake Mohana Kyu,spotify:track:1ao5ptPwV7AQRUkkxP3DgA,0.424,0.474,0.621,0,0.644,-12.119,0.0567,146.051,0.881,0
7,Krishan Bhajan,8,5F2LrqQb2lO7WCdOEKjfqK,Ye To Prem Ki,spotify:track:5F2LrqQb2lO7WCdOEKjfqK,0.673,0.544,0.64,6.80E-06,0.0963,-6.654,0.044,96.874,0.845,0
8,Krishan Bhajan,9,1gsVU4xyYz7hoVVkJubq4a,Radhe Radhe Japo,spotify:track:1gsVU4xyYz7hoVVkJubq4a,0.478,0.562,0.676,0,0.118,-8.288,0.0609,121.559,0.759,0
9,Krishan Bhajan,10,10eTE0OyWrL2zynlVkRbi2,Mandir Me Rehte Ho,spotify:track:10eTE0OyWrL2zynlVkRbi2,0.841,0.52,0.336,0,0.105,-14.212,0.0287,94.376,0.453,0
10,"Mridul Ras Dhara, Vol. 3",1,2VLhVz3EAxBTxeDk6UQUhJ,Murli Manohar Nand Lala,spotify:track:2VLhVz3EAxBTxeDk6UQUhJ,0.577,0.394,0.675,0.000262,0.131,-7.074,0.068,88.613,0.639,15
11,"Mridul Ras Dhara, Vol. 3",2,2xbSenbFlPCtkWeER5Z6On,Mandir Mein Rahte Ho Bhagwan,spotify:track:2xbSenbFlPCtkWeER5Z6On,0.636,0.408,0.654,0,0.157,-7.502,0.0336,143.357,0.587,8
12,"Mridul Ras Dhara, Vol. 3",3,7mlXzgQz3nd6zfcaaH5ee2,Radhe Radhe Govind,spotify:track:7mlXzgQz3nd6zfcaaH5ee2,0.324,0.441,0.738,0,0.186,-5.384,0.044,139.151,0.646,12
13,"Mridul Ras Dhara, Vol. 3",4,4GZchpE5yti5K08PorQ7Qr,Mujhe Raas Aa Gaya Hai,spotify:track:4GZchpE5yti5K08PorQ7Qr,0.705,0.338,0.891,0.000777,0.701,-4.297,0.0402,93.215,0.649,11
14,"Mridul Ras Dhara, Vol. 3",5,3aIjWjTlw2TpadpbL14K1b,Govind Hare Gopal Hare,spotify:track:3aIjWjTlw2TpadpbL14K1b,0.934,0.512,0.49,0.000111,0.213,-9.661,0.0314,129.031,0.289,10
15,"Mridul Ras Dhara, Vol. 3",6,56T3Hd1fTHPh86XHQ5Aau7,Tu Sumiran Kar,spotify:track:56T3Hd1fTHPh86XHQ5Aau7,0.748,0.482,0.412,3.73E-05,0.112,-10.877,0.0342,124.996,0.435,3
16,"Mridul Ras Dhara, Vol. 3",7,3uTHZmS9MgaWnJvz0qusqy,Govind Radhe Madhava,spotify:track:3uTHZmS9MgaWnJvz0qusqy,0.48,0.391,0.7,5.48E-05,0.3,-7.632,0.0509,97.273,0.614,13
17,"Radhe Radhe Japa Karo, Vol. 4",1,5STpcrL7eckQKazjowf7Su,Bhola Nath Se Nirala,spotify:track:5STpcrL7eckQKazjowf7Su,0.617,0.637,0.716,2.91E-06,0.0692,-6.541,0.0382,135.958,0.833,6
18,"Radhe Radhe Japa Karo, Vol. 4",2,0idHILayBUJApSQwYHPvhx,Teri Bansi Pe,spotify:track:0idHILayBUJApSQwYHPvhx,0.579,0.694,0.724,0,0.0876,-6.735,0.0378,96.017,0.929,14
19,"Radhe Radhe Japa Karo, Vol. 4",3,6s8ElWbFFy8D2LgHqeMz1h,Hamaro Dhan Radha,spotify:track:6s8ElWbFFy8D2LgHqeMz1h,0.128,0.414,0.804,0,0.312,-4.815,0.0437,118.958,0.678,16
20,"Radhe Radhe Japa Karo, Vol. 4",4,6Q3dmwJbzZka4Kil7nOmkA,Ari Nand Yasoda Ke Dwar,spotify:track:6Q3dmwJbzZka4Kil7nOmkA,0.175,0.389,0.844,0,0.384,-5.393,0.133,114.429,0.648,5
21,"Radhe Radhe Japa Karo, Vol. 4",5,5OLpf1QhUU68n8clJENJXH,Bari Dur Gokul Nagri,spotify:track:5OLpf1QhUU68n8clJENJXH,0.439,0.409,0.71,0,0.139,-5.007,0.0391,154.617,0.806,10
22,"Radhe Radhe Japa Karo, Vol. 4",6,43UCNVbprGC16nnnT9uqWn,Chali Aeyo Re Shyam,spotify:track:43UCNVbprGC16nnnT9uqWn,0.558,0.408,0.788,0,0.171,-4.278,0.0402,99.938,0.917,10
23,"Radhe Radhe Japa Karo, Vol. 4",7,5kNSjQGhavsbvNCtzIvbm5,Dar Pe Tumhare Savre,spotify:track:5kNSjQGhavsbvNCtzIvbm5,0.309,0.682,0.636,7.94E-06,0.0372,-10.037,0.0353,110.055,0.901,7
24,"Radhe Radhe Japa Karo, Vol. 4",8,0Q1CfUDdPG0GnBHfFEdr7U,Darbar Me Radha Rani Ke,spotify:track:0Q1CfUDdPG0GnBHfFEdr7U,0.561,0.643,0.793,0,0.308,-7.103,0.0535,135.938,0.884,17
25,"Radhe Radhe Japa Karo, Vol. 4",9,760afxoS4v6h3IG0mBE17U,Dukh Me Mat Ghabrana,spotify:track:760afxoS4v6h3IG0mBE17U,0.521,0.664,0.564,0,0.131,-10.098,0.0427,144.077,0.736,11
26,"Radhe Radhe Japa Karo, Vol. 5",1,2tY8oPewdkleJyHTfn1ydR,Ek Araj Meri Sun Le,spotify:track:2tY8oPewdkleJyHTfn1ydR,0.569,0.599,0.579,2.59E-06,0.731,-7.94,0.0269,102.852,0.575,10
27,"Radhe Radhe Japa Karo, Vol. 5",2,42Y7gAGOJpXh4hW5GDBWvg,Man Bhool Mat Jayon,spotify:track:42Y7gAGOJpXh4hW5GDBWvg,0.642,0.378,0.731,1.44E-05,0.527,-6.273,0.0936,75.647,0.56,8
