,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Mahasindhur Opar Hote,1,0SDUVEqkmhcaXrbVgGPf2x,Oi Mahasindhur Opaar Hote,spotify:track:0SDUVEqkmhcaXrbVgGPf2x,0.994,0.51,0.192,0.0247,0.416,-14.827,0.0319,86.152,0.401,0
1,Mahasindhur Opar Hote,2,5Lj3jwv9wXbQvC4AQU3TaV,Ghana Dambaru Baaje - Megh,spotify:track:5Lj3jwv9wXbQvC4AQU3TaV,0.982,0.375,0.311,0.952,0.204,-16.495,0.0696,101.396,0.565,0
2,Mahasindhur Opar Hote,3,4C8Au3qWEFW2cosbFRrChB,Aaj Abelay Kalshi Niye,spotify:track:4C8Au3qWEFW2cosbFRrChB,0.993,0.234,0.075,0.94,0.116,-22.806,0.0505,68.066,0.318,0
3,Mahasindhur Opar Hote,4,6ObE9PFgxVfxLps7wXhHB1,Bhalobeshe Kende Mori,spotify:track:6ObE9PFgxVfxLps7wXhHB1,0.995,0.32,0.0348,0.964,0.254,-23.758,0.0473,64.427,0.385,0
4,Mahasindhur Opar Hote,5,7AckOqccCmQpreUC3D58Fp,Nayan Thakite Nayane Elona,spotify:track:7AckOqccCmQpreUC3D58Fp,0.986,0.259,0.0637,0.963,0.135,-24.216,0.0399,81.666,0.163,0
5,Mahasindhur Opar Hote,6,0Do7gCi00OZJpEB6SGyt4c,Kato Sab Prane Bare Bare (Bhoirabi),spotify:track:0Do7gCi00OZJpEB6SGyt4c,0.993,0.386,0.0722,0.927,0.0967,-21.782,0.0448,65.902,0.659,0
6,Mahasindhur Opar Hote,7,2qsDQZC4jBBIJLewi3wVyb,Sakhi Loke Bale Kalo,spotify:track:2qsDQZC4jBBIJLewi3wVyb,0.992,0.42,0.175,0.924,0.165,-21.566,0.0672,148.124,0.239,0
7,Mahasindhur Opar Hote,8,1Bgk9afj7otDJmQHVUKoan,Joy Sitapati Sundar Tanu (Sita),spotify:track:1Bgk9afj7otDJmQHVUKoan,0.996,0.281,0.113,0.938,0.143,-22.752,0.0518,169.6,0.438,0
8,Mahasindhur Opar Hote,9,2LINZfhTefytbMTjH4yqkU,Nechechho Prolay Nache,spotify:track:2LINZfhTefytbMTjH4yqkU,0.989,0.609,0.131,0.275,0.159,-19.054,0.0618,116.158,0.108,0
9,Mahasindhur Opar Hote,10,4iXqHDJmL0xl99oerdOxqH,Swapan Jodi Madhur Emon (Jagiyo Na Amay Jagiyo Na),spotify:track:4iXqHDJmL0xl99oerdOxqH,0.995,0.267,0.0356,0.883,0.133,-26.212,0.0393,69.523,0.296,0
10,Mahasindhur Opar Hote,11,38cTCKXDGfTYVC2dFSM04y,Andharer Dambaru Tale,spotify:track:38cTCKXDGfTYVC2dFSM04y,0.98,0.478,0.182,0.895,0.112,-19.802,0.0547,123.693,0.368,0
11,Mahasindhur Opar Hote,12,34AEJWjFnamrslFspcZHcF,Bajlo Amar Shyamer Banshi,spotify:track:34AEJWjFnamrslFspcZHcF,0.99,0.235,0.0451,0.923,0.0992,-24.347,0.0382,73.316,0.405,0
12,Mahasindhur Opar Hote,13,7ttAiupYZLEarLXxbIKVvd,Megh Heri Neel Gagane - Nat Malhar,spotify:track:7ttAiupYZLEarLXxbIKVvd,0.985,0.414,0.34,0.961,0.147,-14.414,0.0622,68.623,0.497,0
31,Badalti Duniya,7,3XDZLj7C3gaTNmbhopyNqj,Mera Tan Nache - Mumtaz Shanti,spotify:track:3XDZLj7C3gaTNmbhopyNqj,0.989,0.576,0.236,0.0378,0.114,-8.965,0.219,62.4,0.911,0
34,Badalti Duniya (Original Motion Picture Soundtrack),1,2b0PZAtArJTNYQIJnM3487,Aao Sajan Aa Jao Tum,spotify:track:2b0PZAtArJTNYQIJnM3487,0.994,0.679,0.152,0.327,0.136,-9.685,0.106,136.891,0.871,0
35,Badalti Duniya (Original Motion Picture Soundtrack),2,0rfPR4LzIzuJxmaj23mdGG,Bol Bol Tu Bol,spotify:track:0rfPR4LzIzuJxmaj23mdGG,0.995,0.606,0.0547,0.847,0.137,-18.975,0.139,69.582,0.724,0
36,Badalti Duniya (Original Motion Picture Soundtrack),3,2h1KMt63MJAnaevQ525GlY,Haar Na Jana,spotify:track:2h1KMt63MJAnaevQ525GlY,0.993,0.591,0.0846,0.828,0.0844,-18.322,0.0533,69.919,0.328,0
37,Badalti Duniya (Original Motion Picture Soundtrack),4,0eLWgVrr9u0uvD3yHAT90M,Is Badalti Duniya Mein,spotify:track:0eLWgVrr9u0uvD3yHAT90M,0.995,0.465,0.0673,0.915,0.117,-18.826,0.0968,69.817,0.622,0
38,Badalti Duniya (Original Motion Picture Soundtrack),5,70SB3Fx1tljbsHfWLdEBO2,Kab Tak Rahenge Qaid Hum,spotify:track:70SB3Fx1tljbsHfWLdEBO2,0.995,0.702,0.212,0.703,0.15,-9.093,0.275,68.67,0.507,0
39,Badalti Duniya (Original Motion Picture Soundtrack),6,30riMY8ivtaXgmM5W1daGz,Kaun Dhire Dhire Mere Dil Men,spotify:track:30riMY8ivtaXgmM5W1daGz,0.995,0.468,0.0574,0.0983,0.16,-13.531,0.191,170.822,0.467,0
40,Badalti Duniya (Original Motion Picture Soundtrack),7,4wS8e1EGJ1Jo1Ujkn4APtQ,Mera Tan Nache,spotify:track:4wS8e1EGJ1Jo1Ujkn4APtQ,0.989,0.525,0.236,0.0378,0.114,-8.965,0.263,62.312,0.911,0
41,Badalti Duniya (Original Motion Picture Soundtrack),8,6tnLJsCEJ1GoGjH1Zrx2Zs,Tu Aaj Koi Geet Sajan,spotify:track:6tnLJsCEJ1GoGjH1Zrx2Zs,0.995,0.652,0.224,0.301,0.176,-11.902,0.476,68.574,0.641,0
42,Badalti Duniya (Original Motion Picture Soundtrack),9,6v5r3UdaAlGBFtAtmTfo4t,Tu Mujhe Bana Le Rani,spotify:track:6v5r3UdaAlGBFtAtmTfo4t,0.995,0.549,0.186,0.868,0.107,-14.583,0.102,137.595,0.808,0
43,Bengali Devotional Songs,1,2sRoUG3Bg4KjVF2i1Nwzql,Banshuri Na Baje,spotify:track:2sRoUG3Bg4KjVF2i1Nwzql,0.992,0.29,0.153,0.588,0.57,-19.012,0.0586,61.554,0.362,0
44,Bengali Devotional Songs,2,2gxcWveYc2TNnVxqiae0wd,Shatek Baras Parey,spotify:track:2gxcWveYc2TNnVxqiae0wd,0.985,0.564,0.172,0.000156,0.14,-16.337,0.0842,134.869,0.463,0
45,Bengali Devotional Songs,3,6vd02gRETlwqYgQJojPRp7,Swapan Dekhichhe Radharani,spotify:track:6vd02gRETlwqYgQJojPRp7,0.964,0.501,0.201,0.000194,0.104,-17.194,0.0474,140.827,0.425,0
