,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,These Same Skies (Live),1,4fA75ecQMGhP7Wld2kT0ZY,That's The Power - Live,spotify:track:4fA75ecQMGhP7Wld2kT0ZY,0.0107,0.458,0.634,0.0,0.235,-8.282,0.0327,74.008,0.094,55
5,These Same Skies (Live),6,0gtUR7Wh1B94KWyZDiGhJo,Never Walk Alone - Live,spotify:track:0gtUR7Wh1B94KWyZDiGhJo,0.134,0.412,0.551,0.0,0.105,-8.04,0.0324,143.869,0.216,54
6,These Same Skies (Live),7,2yYsMsc5Ic7HZoOS3DbGMZ,Resurrender - Live,spotify:track:2yYsMsc5Ic7HZoOS3DbGMZ,0.144,0.449,0.433,0.0,0.0697,-9.551,0.0299,139.976,0.154,60
12,These Same Skies (Live),2,4WH47DbY8FFS8LZg1bdR1s,That's The Power (Reprise) - Live,spotify:track:4WH47DbY8FFS8LZg1bdR1s,0.0016,0.258,0.708,0.0,0.364,-7.291,0.038,147.964,0.366,50
13,These Same Skies (Live),3,57xCSQ2a41k8zW8PkcbnBO,Surrounds Me - Live,spotify:track:57xCSQ2a41k8zW8PkcbnBO,0.0143,0.531,0.534,0.0,0.0642,-7.577,0.0277,81.873,0.344,51
14,These Same Skies (Live),4,0p5CPH1ChVpy79HIZPR4uy,Freedom - Live,spotify:track:0p5CPH1ChVpy79HIZPR4uy,0.00226,0.484,0.68,0.0,0.136,-8.489,0.0317,75.007,0.189,50
15,These Same Skies (Live),5,5jawyqbfmVufFM2YDS2jdu,Hope Of The Ages - Live,spotify:track:5jawyqbfmVufFM2YDS2jdu,0.0051,0.229,0.503,0.0,0.105,-8.769,0.03,99.938,0.148,49
18,These Same Skies (Live),8,05W8PJmja6rf2jlXf57C5a,Secret Place - Live,spotify:track:05W8PJmja6rf2jlXf57C5a,0.419,0.301,0.297,0.0,0.111,-12.963,0.0354,129.829,0.146,50
19,These Same Skies (Live),9,27XUxjpgD1vARBeOZn46kH,Waiting (Spontaneous) - Live,spotify:track:27XUxjpgD1vARBeOZn46kH,0.0438,0.244,0.347,0.000275,0.107,-11.584,0.0336,129.925,0.0596,48
20,These Same Skies (Live),10,54DFEHLEHHVvBJChO1ging,Song For His Presence - Live,spotify:track:54DFEHLEHHVvBJChO1ging,0.0235,0.534,0.539,0.0,0.075,-9.436,0.031,103.975,0.0655,48
21,These Same Skies (Live),11,7DVfo79IPUESg26bQyhbma,All To Him - Live,spotify:track:7DVfo79IPUESg26bQyhbma,0.361,0.488,0.372,0.0,0.198,-10.323,0.0291,113.884,0.229,48
26,Take Heart (Again),5,2oIJcLFfmcNNaNpMJzBUwG,I Surrender,spotify:track:2oIJcLFfmcNNaNpMJzBUwG,0.74,0.363,0.301,0.0,0.139,-11.203,0.0304,147.911,0.142,49
34,Take Heart (Again),1,09nXBi19jRO59kMA36fJGE,Hosanna,spotify:track:09nXBi19jRO59kMA36fJGE,0.804,0.354,0.223,0.0,0.119,-10.956,0.0358,89.445,0.262,48
35,Take Heart (Again),2,3ZB1nTdHgDTxQLIFWAOcfF,For Those Who Are To Come,spotify:track:3ZB1nTdHgDTxQLIFWAOcfF,0.782,0.257,0.252,0.0,0.101,-11.368,0.0375,139.386,0.13,39
37,Take Heart (Again),4,3HB2BROPfh86ChvOoe2dFq,Heart Of God,spotify:track:3HB2BROPfh86ChvOoe2dFq,0.392,0.42,0.342,0.0,0.107,-8.831,0.0297,137.97,0.09,39
39,Take Heart (Again),6,6FfvZe3fVGD0EhJjnzs9qb,Selah / All My Life,spotify:track:6FfvZe3fVGD0EhJjnzs9qb,0.558,0.441,0.502,0.0,0.532,-9.284,0.0406,126.605,0.361,40
40,Take Heart (Again),7,2kEOVT4a8BoYqcRw4Mw5FB,Take Heart (MMXX),spotify:track:2kEOVT4a8BoYqcRw4Mw5FB,0.478,0.487,0.384,1.33e-05,0.1,-11.071,0.0297,131.963,0.164,42
41,Take Heart (Again),8,7yr380Co9c4k6BBgPTd4On,Broken Vessels (Amazing Grace) / Life,spotify:track:7yr380Co9c4k6BBgPTd4On,0.415,0.502,0.569,0.295,0.169,-11.055,0.0346,124.027,0.109,36
43,Take Heart (Again),10,4i8FcEMiMlU6R2TS3WgHGm,Highs & Lows,spotify:track:4i8FcEMiMlU6R2TS3WgHGm,0.576,0.536,0.364,1.97e-06,0.154,-9.82,0.0291,113.875,0.275,39
44,Take Heart (Again),11,3afUgizW2YUiBapTyB2Zlw,Eagle's Wings,spotify:track:3afUgizW2YUiBapTyB2Zlw,0.965,0.251,0.144,0.000782,0.104,-15.312,0.0392,75.086,0.149,37
45,Take Heart (Again),12,2fQCMX03xgnxgmYbZam7FU,Still / P E A C E,spotify:track:2fQCMX03xgnxgmYbZam7FU,0.846,0.323,0.232,8.6e-06,0.0777,-12.207,0.0344,132.536,0.322,44
46,Despierta,1,0OXc6ONc8DWgAizhu4zm0K,Amanecer,spotify:track:0OXc6ONc8DWgAizhu4zm0K,0.245,0.463,0.314,0.796,0.1,-16.634,0.0341,127.054,0.398,20
47,Despierta,2,44uiY9mN7UCReHQ79csPtd,Despierta Mi Alma,spotify:track:44uiY9mN7UCReHQ79csPtd,0.00267,0.435,0.556,1.17e-06,0.0964,-7.871,0.0326,126.963,0.134,36
48,Despierta,3,2oDo3CTBQ8XFKW1SJK4uqB,Vi La Luz,spotify:track:2oDo3CTBQ8XFKW1SJK4uqB,0.0142,0.604,0.788,4.65e-06,0.233,-7.419,0.0362,115.989,0.564,24
49,Despierta,4,3QCMaBtHFU3eeBXhD8e7Pn,Rey De Reyes,spotify:track:3QCMaBtHFU3eeBXhD8e7Pn,0.155,0.424,0.499,0.0,0.0966,-7.196,0.031,135.986,0.119,27
50,Despierta,5,0ueorNaVwNaln91tsOXMLP,Solo Jesús,spotify:track:0ueorNaVwNaln91tsOXMLP,0.222,0.372,0.366,5.54e-06,0.103,-8.85,0.0281,73.071,0.0779,22
51,Despierta,6,5vI6V2qtf0FXJyyXrwwSkb,Tu Habitación,spotify:track:5vI6V2qtf0FXJyyXrwwSkb,0.921,0.372,0.158,1.13e-05,0.088,-15.645,0.0319,129.911,0.239,21
52,Despierta,7,1tPi2P91pLZNV1eT6UEItS,Él Reinará,spotify:track:1tPi2P91pLZNV1eT6UEItS,0.0266,0.26,0.386,0.00026,0.276,-9.156,0.0297,143.963,0.16,20
81,Awake,1,2Ikijinwhm9RxzA0WMWTqw,Dawn - Studio,spotify:track:2Ikijinwhm9RxzA0WMWTqw,0.164,0.469,0.296,0.861,0.0919,-17.731,0.0354,127.075,0.362,48
82,Awake,2,67egl4SMI7KfwW1kaf89PN,Awake My Soul - Studio,spotify:track:67egl4SMI7KfwW1kaf89PN,0.00134,0.455,0.587,0.0,0.0942,-8.665,0.0336,126.836,0.127,54
83,Awake,3,2FKd5vdRSk313W6B9s69tB,Come Alive - Studio,spotify:track:2FKd5vdRSk313W6B9s69tB,0.00492,0.335,0.571,0.0,0.0656,-8.644,0.0345,101.809,0.169,50
84,Awake,4,7dHyEEppnmfZJjNaNZzhl6,See The Light - Studio,spotify:track:7dHyEEppnmfZJjNaNZzhl6,0.00689,0.595,0.836,4.39e-06,0.34,-6.622,0.0398,116.0,0.441,50
85,Awake,5,5W0HZpfl86aVxUoLtV8BGL,No One But You - Studio,spotify:track:5W0HZpfl86aVxUoLtV8BGL,0.0976,0.358,0.427,1.07e-05,0.0849,-9.18,0.0296,145.891,0.0694,49
86,Awake,6,15RiCX4GasV0oulOzdzGaN,King Of Kings - Studio,spotify:track:15RiCX4GasV0oulOzdzGaN,0.122,0.489,0.477,0.0,0.1,-7.343,0.0299,136.045,0.177,62
