,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Onam Hits of P. Jayachandran and M. G. Sreekumar,1,20baJMF5Ir98Og5xacuk0T,Ormayilundenikinnum,spotify:track:20baJMF5Ir98Og5xacuk0T,0.252,0.729,0.318,0.000135,0.0908,-13.267,0.0451,75.018,0.752,5
1,Onam Hits of P. Jayachandran and M. G. Sreekumar,2,58mmu6awzshXMJpJoRpQWJ,Onam Ponnonam,spotify:track:58mmu6awzshXMJpJoRpQWJ,0.597,0.683,0.469,2.67e-06,0.0875,-9.035,0.0493,134.931,0.495,5
2,Onam Hits of P. Jayachandran and M. G. Sreekumar,3,3SPZMHpJQv15IzqbzjKET5,Thakathimi Thalam,spotify:track:3SPZMHpJQv15IzqbzjKET5,0.438,0.771,0.581,0.0,0.101,-10.536,0.084,92.007,0.856,4
3,Onam Hits of P. Jayachandran and M. G. Sreekumar,4,4UE7TXTmINxeyMnVDtkZMU,Ethramel,spotify:track:4UE7TXTmINxeyMnVDtkZMU,0.821,0.576,0.41,0.0,0.0981,-9.115,0.0333,81.489,0.457,3
4,Onam Hits of P. Jayachandran and M. G. Sreekumar,5,51xJjxyMgzfaV4i86mt9d0,Vadasseri Chanthayile,spotify:track:51xJjxyMgzfaV4i86mt9d0,0.53,0.765,0.579,2.73e-06,0.102,-9.883,0.0647,124.945,0.563,3
5,Onam Hits of P. Jayachandran and M. G. Sreekumar,6,56DiFvoD2Rlr3oE0h6BvIe,Kudukude Chirikkana,spotify:track:56DiFvoD2Rlr3oE0h6BvIe,0.0432,0.927,0.856,3.91e-06,0.082,-7.925,0.118,109.926,0.691,3
6,Onam Hits of P. Jayachandran and M. G. Sreekumar,7,4tP33rxxJ5TDlo8nkzSW4x,Anuraga Sheele,spotify:track:4tP33rxxJ5TDlo8nkzSW4x,0.191,0.681,0.618,0.0,0.178,-11.485,0.0376,91.989,0.863,3
7,Karpoora Aarathy,1,0HPu1351PInhuFSm1hZH07,Pambayude Pulinam,spotify:track:0HPu1351PInhuFSm1hZH07,0.302,0.512,0.656,0.0,0.353,-7.207,0.101,160.055,0.87,0
8,Karpoora Aarathy,2,4aaUzznz7LAj45kwWkD0AA,Mazhavil Kaavadi,spotify:track:4aaUzznz7LAj45kwWkD0AA,0.547,0.731,0.566,0.0,0.108,-7.996,0.043,102.8,0.851,0
9,Karpoora Aarathy,3,51vjOENmPx7hiqLCJnQnKy,Mohangale Yoga,spotify:track:51vjOENmPx7hiqLCJnQnKy,0.413,0.558,0.545,0.0,0.0485,-7.221,0.0767,152.46,0.888,0
10,Karpoora Aarathy,4,3wGwByDYLiKMqLZhEng9rE,Amme Maalikappurathamme,spotify:track:3wGwByDYLiKMqLZhEng9rE,0.49,0.642,0.413,0.0,0.117,-7.348,0.052,93.091,0.611,0
11,Karpoora Aarathy,5,0gEl5p5vOrXe4BnE945x27,Malayude Mounathe,spotify:track:0gEl5p5vOrXe4BnE945x27,0.624,0.51,0.537,0.0,0.332,-6.848,0.0567,152.416,0.724,0
12,Karpoora Aarathy,6,3Kc4iZSfCIGbp7XG8NNBiY,Manassenna Kannadi,spotify:track:3Kc4iZSfCIGbp7XG8NNBiY,0.557,0.603,0.484,0.0,0.0493,-9.169,0.0933,89.219,0.779,0
13,Karpoora Aarathy,7,2OFYKVG8IXWTW5YDIjRAeV,Sharana Geetham,spotify:track:2OFYKVG8IXWTW5YDIjRAeV,0.482,0.702,0.427,0.0,0.0771,-8.696,0.0354,108.843,0.825,0
14,Karpoora Aarathy,8,1cIuXUnSlc5ANg7rjyfPbX,Thathwathin Kathir,spotify:track:1cIuXUnSlc5ANg7rjyfPbX,0.413,0.59,0.423,0.0,0.0527,-9.716,0.0766,91.681,0.848,0
15,Karpoora Aarathy,9,3DQTlPxIOgGSix8hQBOj5h,Makarathil Manjuputhakkum,spotify:track:3DQTlPxIOgGSix8hQBOj5h,0.728,0.587,0.515,0.0,0.0781,-9.695,0.0568,84.589,0.897,0
16,Karpoora Aarathy,10,15sz5tg9cjyQrAb5gb3icc,Ambalapuzha Swamimarum,spotify:track:15sz5tg9cjyQrAb5gb3icc,0.444,0.599,0.532,5.92e-06,0.0859,-9.069,0.112,86.685,0.947,0
17,Karpoora Deepam,1,0PPborjjiC9iA45e0iCKrG,Eka Dantha Vigna,spotify:track:0PPborjjiC9iA45e0iCKrG,0.853,0.623,0.457,3.35e-05,0.222,-9.835,0.0505,83.358,0.674,0
18,Karpoora Deepam,2,5wcJMJQGfXWVzcSuEFkSea,Padi Pooja Seith,spotify:track:5wcJMJQGfXWVzcSuEFkSea,0.893,0.438,0.404,5.77e-05,0.358,-9.639,0.0506,167.95,0.77,0
19,Karpoora Deepam,3,4DITYBPSl22sVUApDb3YsW,Maragatha Manjula,spotify:track:4DITYBPSl22sVUApDb3YsW,0.84,0.688,0.598,0.0,0.696,-7.143,0.049,94.83,0.652,0
20,Karpoora Deepam,4,2WfHrWZvDYqQ81yGNwKFr8,Aayiram Sthuthikalal,spotify:track:2WfHrWZvDYqQ81yGNwKFr8,0.696,0.466,0.464,0.0,0.309,-8.062,0.0606,154.299,0.645,0
21,Karpoora Deepam,5,1oRifgEMLu0lKGpnumjuzp,Suvarnna Malaraay,spotify:track:1oRifgEMLu0lKGpnumjuzp,0.799,0.672,0.66,0.0,0.304,-7.309,0.0447,91.157,0.733,0
22,Karpoora Deepam,6,1xOVEXrSse3sImjiXEQa2n,Sabarimala Vaasane,spotify:track:1xOVEXrSse3sImjiXEQa2n,0.767,0.421,0.465,0.0,0.809,-7.682,0.0405,162.313,0.673,0
23,Karpoora Deepam,7,3oKpcbuuRCynKLvksreUqI,Paandi Sevam,spotify:track:3oKpcbuuRCynKLvksreUqI,0.408,0.604,0.742,7.22e-06,0.11,-7.693,0.0618,137.169,0.804,0
24,Karpooraazhi,1,0PPLq5mLfUZNfEMf9Cjm5e,Swami Nirayum,spotify:track:0PPLq5mLfUZNfEMf9Cjm5e,0.609,0.572,0.769,0.0,0.211,-7.044,0.0478,78.79,0.909,0
25,Karpooraazhi,2,4CZixBix2fyIDSIFkMa6OI,Neyyadi Nilkkunna,spotify:track:4CZixBix2fyIDSIFkMa6OI,0.662,0.696,0.544,0.0,0.128,-7.41,0.0349,140.204,0.718,0
26,Karpooraazhi,3,5IsjbAhm5Pw4zvnJZalXiV,Poozhi Nilathu,spotify:track:5IsjbAhm5Pw4zvnJZalXiV,0.684,0.427,0.498,0.0,0.337,-8.372,0.0529,82.932,0.669,0
27,Karpooraazhi,4,4BCMN5kOBa6ZynEdgYlb5S,Mammiyoorappane,spotify:track:4BCMN5kOBa6ZynEdgYlb5S,0.749,0.708,0.525,2.4e-05,0.107,-7.854,0.0338,118.908,0.56,0
28,Karpooraazhi,5,5HqwV2PCDxe0SOaTn4MFO3,Ayyappa Bhikshuvay,spotify:track:5HqwV2PCDxe0SOaTn4MFO3,0.606,0.636,0.537,0.0,0.158,-8.121,0.0407,92.103,0.755,0
