,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Sampoorna Sundarkand,1,72RDWtPtZ7n5M6BopTSMED,Sampoorna Sundarkand Part-1,spotify:track:72RDWtPtZ7n5M6BopTSMED,0.379,0.685,0.336,0.0,0.196,-12.006,0.0505,88.992,0.22,5
1,Sampoorna Sundarkand,2,72LoUmmBxTzYw23OtsIYZq,Sampoorna Sundarkand Part-2,spotify:track:72LoUmmBxTzYw23OtsIYZq,0.462,0.693,0.336,0.0,0.29,-12.144,0.0565,88.93,0.278,2
2,Mantras & Dhuns By Lalitya Munshaw,1,5ZrYgXP4qps0jhC6OKlNad,Om Gan Ganpataye (Stuti),spotify:track:5ZrYgXP4qps0jhC6OKlNad,0.828,0.683,0.613,1e-06,0.0857,-5.775,0.0318,123.107,0.786,4
3,Mantras & Dhuns By Lalitya Munshaw,2,5tvgG3z3ADkPQKtLvzwC0s,Hare Ram Hare Krishna (Dhun),spotify:track:5tvgG3z3ADkPQKtLvzwC0s,0.743,0.496,0.437,0.0,0.246,-7.889,0.0259,95.015,0.365,4
4,Mantras & Dhuns By Lalitya Munshaw,3,7HY6c4GiMKCmNSnk39e2il,Om Namah Shivay (Mantra),spotify:track:7HY6c4GiMKCmNSnk39e2il,0.968,0.229,0.178,0.0319,0.104,-10.57,0.0385,72.261,0.0689,14
5,Mantras & Dhuns By Lalitya Munshaw,4,5nPgYlEATMsErFRvtWFulD,Gayatri Mantra,spotify:track:5nPgYlEATMsErFRvtWFulD,0.532,0.572,0.509,0.0,0.172,-6.788,0.0275,115.923,0.134,2
6,Mantras & Dhuns By Lalitya Munshaw,5,7vfouwwxvUURMjWLrdhv5m,Mahalakshmi Mantra,spotify:track:7vfouwwxvUURMjWLrdhv5m,0.797,0.69,0.597,0.00113,0.0782,-6.747,0.0292,123.021,0.651,3
7,Mantras & Dhuns By Lalitya Munshaw,6,5shUVDpFPxUhnBhv3WL2BD,Buddham Saranam Gacchami (Mantra),spotify:track:5shUVDpFPxUhnBhv3WL2BD,0.938,0.17,0.306,0.00016,0.0942,-9.461,0.0357,88.943,0.108,3
8,Mantras & Dhuns By Lalitya Munshaw,7,0A9E9QtaGYAhJLFtqZpIGI,Govind Bolo (Dhun),spotify:track:0A9E9QtaGYAhJLFtqZpIGI,0.809,0.423,0.561,0.0,0.503,-5.456,0.034,80.005,0.483,2
9,Mantras & Dhuns By Lalitya Munshaw,8,3taBBc3eFrXMwHULXDWFV7,Om Ganeshaye Namah (Mantra),spotify:track:3taBBc3eFrXMwHULXDWFV7,0.982,0.267,0.211,0.0524,0.0891,-12.841,0.0345,68.165,0.0725,2
10,Mantras & Dhuns By Lalitya Munshaw,9,1tYy0dLmWJsQ7P23cGGjyZ,Vakratunda Mahakaya (Shlok),spotify:track:1tYy0dLmWJsQ7P23cGGjyZ,0.97,0.345,0.182,6.31e-05,0.143,-9.669,0.0307,71.811,0.421,7
11,Mantras & Dhuns By Lalitya Munshaw,10,1EfLWzUArsQRoADmxDmBdx,Gajanan (Dhun),spotify:track:1EfLWzUArsQRoADmxDmBdx,0.788,0.599,0.568,0.0,0.0805,-7.29,0.0337,151.979,0.492,3
12,Mantras & Dhuns By Lalitya Munshaw,11,0OcELHKIyFT4GqrEwBiYq5,Guru Om (Shlok & Dhun),spotify:track:0OcELHKIyFT4GqrEwBiYq5,0.895,0.354,0.399,3.25e-06,0.119,-6.797,0.0311,152.084,0.395,2
13,Mantras & Dhuns By Lalitya Munshaw,12,3ykOFPYbInCPL5CeXKSYnD,Gajanan (Shlok & Dhun),spotify:track:3ykOFPYbInCPL5CeXKSYnD,0.83,0.526,0.526,4.27e-06,0.0831,-6.627,0.0289,152.137,0.254,2
14,Mantras & Dhuns By Lalitya Munshaw,13,7EHu5zt2eZhksRsSooJtSq,Guru Om (Dhun),spotify:track:7EHu5zt2eZhksRsSooJtSq,0.927,0.404,0.464,0.0,0.0849,-7.677,0.0298,152.018,0.279,1
15,Mantras & Dhuns By Lalitya Munshaw,14,2q5tm0wjfMxFtZ3mKyxnwo,Har Har Gange,spotify:track:2q5tm0wjfMxFtZ3mKyxnwo,0.884,0.526,0.333,0.0,0.351,-8.663,0.0299,106.1,0.124,1
16,Mantras & Dhuns By Lalitya Munshaw,15,0CCwWFqOkdTm8zeeMFMAjS,Tulsi Mantra,spotify:track:0CCwWFqOkdTm8zeeMFMAjS,0.452,0.455,0.27,1.21e-05,0.096,-11.377,0.0374,128.019,0.0375,2
17,Mantras & Dhuns By Lalitya Munshaw,16,7tG3AVoIgvyEdHf44WsImF,Tulsi Gayatri Mantra,spotify:track:7tG3AVoIgvyEdHf44WsImF,0.754,0.428,0.197,0.0,0.117,-11.469,0.0393,74.696,0.0785,3
18,Aarti Sangrah By Lalitya Munshaw,1,06TC9TBsKCK78cMFPUB9dz,Jai Adhya Shakti,spotify:track:06TC9TBsKCK78cMFPUB9dz,0.668,0.611,0.657,0.0,0.336,-5.867,0.0341,91.3,0.672,0
19,Aarti Sangrah By Lalitya Munshaw,2,6Ggi10PtbYoxXr2Ti1AAo9,Jai Ganesh Deva,spotify:track:6Ggi10PtbYoxXr2Ti1AAo9,0.5,0.572,0.739,0.0,0.0878,-7.323,0.0525,152.777,0.731,0
20,Aarti Sangrah By Lalitya Munshaw,3,4EW34qd6oOKU7Dzl0Wlsky,Jai Ambe Gauri,spotify:track:4EW34qd6oOKU7Dzl0Wlsky,0.65,0.635,0.717,1.55e-06,0.169,-6.388,0.059,89.619,0.912,0
21,Aarti Sangrah By Lalitya Munshaw,4,0bqBP5sFWbxPLiXAkbXbWW,Shree Ramchandra,spotify:track:0bqBP5sFWbxPLiXAkbXbWW,0.701,0.671,0.624,0.0,0.085,-6.28,0.0365,112.896,0.685,3
22,Aarti Sangrah By Lalitya Munshaw,5,3j0KVQnW0vHeo7jr7D9Qbo,Sukhkarta Dukhharta,spotify:track:3j0KVQnW0vHeo7jr7D9Qbo,0.806,0.623,0.5,0.0,0.301,-7.062,0.0728,199.633,0.932,0
23,Aarti Sangrah By Lalitya Munshaw,6,18MnKP2amtmmK3uQfonIYZ,Jai Shiv Omkara,spotify:track:18MnKP2amtmmK3uQfonIYZ,0.326,0.667,0.765,1.37e-06,0.372,-6.57,0.0762,102.13,0.903,0
24,Aarti Sangrah By Lalitya Munshaw,7,6ltHPUFpkvIDmRuru8VBKy,Jai Laxmi Mata,spotify:track:6ltHPUFpkvIDmRuru8VBKy,0.421,0.576,0.715,0.0,0.0764,-4.796,0.0387,91.182,0.84,0
25,Aarti Sangrah By Lalitya Munshaw,8,26Ezf9XimQ6gKLLrrErk7q,Jai Santoshi Mata,spotify:track:26Ezf9XimQ6gKLLrrErk7q,0.665,0.643,0.694,0.0,0.0827,-5.007,0.0377,95.457,0.777,0
26,Aarti Sangrah By Lalitya Munshaw,9,44os5ei8h5Y53xABJRyZsx,Om Jai Jagdish Hare,spotify:track:44os5ei8h5Y53xABJRyZsx,0.215,0.702,0.66,0.0,0.199,-6.807,0.028,113.732,0.952,0
