,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Ghodo Babe Ro (Original),1,7LPvXNtUqOxcKBE1qu5mrR,Ghodo Babe Ro 1 - Original,spotify:track:7LPvXNtUqOxcKBE1qu5mrR,0.396,0.64,0.693,0.0,0.214,-3.228,0.0286,93.979,0.964,0
1,Ghodo Babe Ro (Original),2,2QxR3q5LZhL4dLlWNLypPN,Ghodo Babe Ro 2 - Original,spotify:track:2QxR3q5LZhL4dLlWNLypPN,0.63,0.531,0.867,0.0,0.254,-4.02,0.323,135.027,0.915,0
2,Ghodo Babe Ro (Original),3,44PGNS0PS6l03f4syO09H6,Ghodo Babe Ro 3 - Original,spotify:track:44PGNS0PS6l03f4syO09H6,0.578,0.446,0.84,4.34e-06,0.474,-3.795,0.256,82.232,0.912,0
3,Ghodo Babe Ro (Original),4,2U1vhZCcy8YH5nir05bxkh,Ghodo Babe Ro 4 - Original,spotify:track:2U1vhZCcy8YH5nir05bxkh,0.248,0.531,0.934,0.000301,0.236,-3.831,0.148,101.032,0.801,0
4,Rupala Shyam Dhani,1,3L9MLfEu3x7F0lN9BC6PD1,Bheed Ghani,spotify:track:3L9MLfEu3x7F0lN9BC6PD1,0.295,0.775,0.847,0.121,0.355,-6.178,0.141,135.053,0.829,0
5,Rupala Shyam Dhani,2,2QN6C5UgrTHo6tDwefMncb,Gujariya Nache,spotify:track:2QN6C5UgrTHo6tDwefMncb,0.0441,0.683,0.895,3.54e-05,0.251,-7.17,0.0575,129.007,0.593,0
6,Rupala Shyam Dhani,3,5mXizJNr1vp9hRzrOPEvGu,Jhula Jhulo Shyam Dhani,spotify:track:5mXizJNr1vp9hRzrOPEvGu,0.09,0.65,0.915,6.57e-05,0.314,-6.615,0.191,145.034,0.869,0
7,Rupala Shyam Dhani,4,2kXdJtuMEXF3bw2aebtJwO,Man Ro Moriyo,spotify:track:2kXdJtuMEXF3bw2aebtJwO,0.557,0.604,0.919,3.27e-06,0.667,-5.466,0.106,98.985,0.773,0
8,Rupala Shyam Dhani,5,5lwAaUCjlrwCMdnbDREaLn,Mhare Ghare Aaja,spotify:track:5lwAaUCjlrwCMdnbDREaLn,0.142,0.316,0.924,0.000385,0.644,-5.644,0.0676,74.55,0.629,0
9,Rupala Shyam Dhani,6,0gkRgrWTlLzodkGpBpXHeB,Sawariya Sarkar,spotify:track:0gkRgrWTlLzodkGpBpXHeB,0.0782,0.647,0.941,0.000977,0.124,-5.192,0.0523,113.115,0.864,0
10,Rupala Shyam Dhani,7,6U3XcMPRzbHl0k8EPWYxyj,Shyam Been Jeevan,spotify:track:6U3XcMPRzbHl0k8EPWYxyj,0.577,0.669,0.973,0.728,0.444,-5.15,0.0623,113.143,0.66,0
11,Rupala Shyam Dhani,8,5QchqRcUYU4r6Ja0ujmgso,Tharo Deshadlo Pyaro,spotify:track:5QchqRcUYU4r6Ja0ujmgso,0.35,0.554,0.863,9.84e-06,0.408,-5.611,0.0656,78.249,0.859,0
12,Indana Mata Ke Chala Fatfatiya Pe (Original),1,3HfFxuHgaVC7n9zT4aA1Qg,Indana Mata Ke Chala Fatfatiya Pe - Original,spotify:track:3HfFxuHgaVC7n9zT4aA1Qg,0.383,0.746,0.936,0.00402,0.0795,-6.072,0.0608,94.998,0.931,0
13,Indana Mata Ke Chala Fatfatiya Pe (Original),2,06GxPr1KUdqlvZrmata2zT,Ore Ma Mata Re Mele Jau - Original,spotify:track:06GxPr1KUdqlvZrmata2zT,0.00269,0.717,0.799,1.3e-05,0.0894,-3.446,0.0477,160.003,0.8,0
