,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
7,Deiva Sthuthi,1,0ZKjz7i7mn2Lz5hCeXaNre,Suklambaratharam,spotify:track:0ZKjz7i7mn2Lz5hCeXaNre,0.966,0.516,0.242,0.000548,0.133,-11.843,0.0514,72.938,0.413,9
8,Deiva Sthuthi,2,1vJQLnuS2xPSmjPRGch8iY,Vathapi Ganapathim,spotify:track:1vJQLnuS2xPSmjPRGch8iY,0.874,0.681,0.742,0.000481,0.12,-10.326,0.0722,109.249,0.873,13
9,Deiva Sthuthi,3,6gnnMuy1AhNrNBks01Gn7B,Yathra Yathra (Sloka),spotify:track:6gnnMuy1AhNrNBks01Gn7B,0.993,0.446,0.0396,0.796,0.367,-17.359,0.0361,71.623,0.379,0
10,Deiva Sthuthi,4,7x6GzD4y2jsbyN7nG30U6y,Idigo Bhadradri,spotify:track:7x6GzD4y2jsbyN7nG30U6y,0.954,0.656,0.522,0.000262,0.228,-7.404,0.0302,104.014,0.804,0
11,Deiva Sthuthi,5,0hOmUf7XKjre8HFZQ8pYX9,Diname Sudinamu,spotify:track:0hOmUf7XKjre8HFZQ8pYX9,0.897,0.613,0.508,0.0101,0.273,-8.102,0.0336,92.73,0.79,0
12,Deiva Sthuthi,6,7kw3dkLWiIsFwRI3qo9puR,Yemayya Rama,spotify:track:7kw3dkLWiIsFwRI3qo9puR,0.929,0.462,0.472,0.00227,0.0738,-8.638,0.0493,171.246,0.692,0
13,Deiva Sthuthi,7,0r2ikT90um6n6mWU6ydbxp,Dasaradharama,spotify:track:0r2ikT90um6n6mWU6ydbxp,0.929,0.656,0.504,0.000602,0.334,-8.216,0.0422,98.237,0.754,0
14,Deiva Sthuthi,8,6GSdLgVl9ZxXcAtnZJBBK3,Rama Dayachudave,spotify:track:6GSdLgVl9ZxXcAtnZJBBK3,0.951,0.597,0.444,7.65E-05,0.185,-8.009,0.0366,94.024,0.709,0
15,Bahudoorapu Batasari - Ghantasala,1,3AHwdexrgtGo564lvEPURT,Nenoka Poola Mokka Pushpaanjali,spotify:track:3AHwdexrgtGo564lvEPURT,0.991,0.421,0.272,0.0105,0.0973,-7.282,0.0378,59.876,0.272,5
16,Bahudoorapu Batasari - Ghantasala,2,5x0Ld5x84l7gjAU9ZpHWSL,Antholo Oka Gulabi Pushpavilaapam,spotify:track:5x0Ld5x84l7gjAU9ZpHWSL,0.991,0.385,0.292,9.91E-05,0.0866,-8.165,0.0374,83.202,0.557,4
17,Bahudoorapu Batasari - Ghantasala,3,4k9likGoUtwjwpBT6oRnqm,Gaalilo Naa Brathuku,spotify:track:4k9likGoUtwjwpBT6oRnqm,0.992,0.324,0.407,0.00136,0.403,-8.884,0.0416,85.586,0.487,4
18,Bahudoorapu Batasari - Ghantasala,4,1WUugPuexsgMKgz4eOtSS4,Nagumomunaku,spotify:track:1WUugPuexsgMKgz4eOtSS4,0.985,0.503,0.305,4.16E-05,0.243,-9.86,0.14,98.992,0.654,3
19,Bahudoorapu Batasari - Ghantasala,5,6LyNv59YshOZHpAZwnu9of,Yedaarilo,spotify:track:6LyNv59YshOZHpAZwnu9of,0.987,0.408,0.474,1.56E-05,0.784,-7.611,0.0311,92.788,0.426,3
20,Bahudoorapu Batasari - Ghantasala,6,19HKaI1DagoHaXi8VkhnuE,Regina Mungurul Prabhaathi,spotify:track:19HKaI1DagoHaXi8VkhnuE,0.984,0.379,0.384,0.000206,0.452,-6.599,0.034,145.902,0.369,3
