,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,MORNING BLISS,1,7fyF5WX3L5YbT1fQse8iW6,GUJARI TODI VILAMBIT,spotify:track:7fyF5WX3L5YbT1fQse8iW6,0.978,0.282,0.0855,0.86,0.132,-28.078,0.0375,124.094,0.16,0
1,MORNING BLISS,2,6kJrlLcl7wSvQtrys96ZF3,GUJARI TODI DRUT,spotify:track:6kJrlLcl7wSvQtrys96ZF3,0.951,0.342,0.328,0.924,0.111,-28.717,0.0377,131.782,0.794,0
2,MORNING BLISS,3,2JrROL3PxHrPFPEPvLF1aL,AHIR BHAIRAV DRUT,spotify:track:2JrROL3PxHrPFPEPvLF1aL,0.865,0.509,0.731,0.802,0.131,-9.542,0.0722,119.569,0.802,0
3,MORNING BLISS,4,41Ca1qF5BnOvXZZKvJoFMc,BILASKHANI TODI DRUT,spotify:track:41Ca1qF5BnOvXZZKvJoFMc,0.582,0.402,0.585,0.0608,0.365,-17.832,0.0452,109.535,0.817,0
4,MORNING BLISS,5,4puhoZAnL3RAT3Hto9Mc2E,HINDOL VILAMBIT,spotify:track:4puhoZAnL3RAT3Hto9Mc2E,0.923,0.345,0.528,0.896,0.12,-12.891,0.0557,84.94,0.393,0
5,MORNING BLISS,6,7i1bM3QReBETsK9lHiKqKK,HINDOL DRUT,spotify:track:7i1bM3QReBETsK9lHiKqKK,0.951,0.573,0.751,0.884,0.113,-11.414,0.0652,129.154,0.865,0
6,MORNING BLISS,7,4ZlyPdAxpEUOhuqkofWD56,JOGIA BHAJAN: HARIKA BHEDAN PAYO,spotify:track:4ZlyPdAxpEUOhuqkofWD56,0.944,0.331,0.197,0.913,0.115,-18.955,0.0319,106.798,0.26,0
7,MORNING BLISS,8,6f2W0weeFMhjJnbH4te7yd,JOGIYA THUMRI: PIYA KE MILAN KI AAS,spotify:track:6f2W0weeFMhjJnbH4te7yd,0.685,0.354,0.482,4.9e-05,0.309,-8.167,0.0294,121.905,0.205,0
8,MORNING BLISS,9,0i6YHmFNApk3A1luWkyzUX,BHAIRAVI THUMRI: BAJU BANDE KHUL KHUL JA,spotify:track:0i6YHmFNApk3A1luWkyzUX,0.661,0.389,0.571,0.00217,0.234,-8.757,0.036,125.974,0.414,0
9,MORNING BLISS,10,0QypkpYexdlvZYXJmzC39N,JAUNPURI VILAMBIT,spotify:track:0QypkpYexdlvZYXJmzC39N,0.92,0.265,0.453,0.567,0.153,-11.702,0.0369,125.609,0.387,0
