,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Yogi Ramsuratkumar Gaana Sudha,1,6vkJlp6yiLoM7nivBR8WRY,Prabho Ganapthey,spotify:track:6vkJlp6yiLoM7nivBR8WRY,0.667,0.72,0.419,0.0,0.618,-14.039,0.0406,114.867,0.83,11
1,Yogi Ramsuratkumar Gaana Sudha,2,5jhUMqbCxV68PvXUK14h6o,Vandhanam,spotify:track:5jhUMqbCxV68PvXUK14h6o,0.67,0.394,0.43,0.0,0.17,-14.69,0.0483,178.18,0.848,8
2,Yogi Ramsuratkumar Gaana Sudha,3,1swYzX2zrwToKh8zzSCqK4,Aranilai,spotify:track:1swYzX2zrwToKh8zzSCqK4,0.773,0.548,0.227,0.0,0.152,-16.396,0.0532,173.954,0.551,8
3,Yogi Ramsuratkumar Gaana Sudha,4,3rPXIuoP4raBwzClDrgx1u,Manasa Bhajare,spotify:track:3rPXIuoP4raBwzClDrgx1u,0.481,0.393,0.406,2.4e-06,0.609,-15.123,0.0582,170.661,0.901,6
4,Yogi Ramsuratkumar Gaana Sudha,5,7u0A8wiaaBLLtINMtOwpPN,Parvathy Ramana,spotify:track:7u0A8wiaaBLLtINMtOwpPN,0.682,0.444,0.396,1.32e-06,0.412,-13.258,0.059,163.598,0.315,5
5,Yogi Ramsuratkumar Gaana Sudha,6,4SQjxYPB2mtk8Wlj79Ic6a,Pasiendral,spotify:track:4SQjxYPB2mtk8Wlj79Ic6a,0.505,0.55,0.324,1.05e-06,0.252,-15.147,0.0362,121.225,0.434,4
6,Yogi Ramsuratkumar Gaana Sudha,7,5De0YMr6SIDZ0CqA4qSm6d,Ramarajyam,spotify:track:5De0YMr6SIDZ0CqA4qSm6d,0.547,0.474,0.535,1.61e-06,0.49,-15.343,0.153,161.833,0.96,8
7,"Anuradha Paudwal Songs, Vol.1",1,4KG21dIji2G5nw0X4EN4uO,Dhak Dhak Karne Laga,spotify:track:4KG21dIji2G5nw0X4EN4uO,0.745,0.812,0.573,2.39e-06,0.0748,-9.879,0.135,131.285,0.92,31
8,"Anuradha Paudwal Songs, Vol.1",2,2z82vrJyFFFS6Qwi8bPIPf,Dharti Gagan Mein Hoti Hai,spotify:track:2z82vrJyFFFS6Qwi8bPIPf,0.38,0.563,0.702,0.0,0.294,-10.719,0.0463,79.839,0.915,20
9,"Anuradha Paudwal Songs, Vol.1",3,5Xpc5dQs0Xpn6kNweTXa9e,Dil Diwane Ka Dola Dildar Ke Liye,spotify:track:5Xpc5dQs0Xpn6kNweTXa9e,0.854,0.294,0.589,2.61e-05,0.363,-11.979,0.0439,83.778,0.55,21
10,"Anuradha Paudwal Songs, Vol.1",4,1WLpFn60WzheoA1CuVkoC8,Do Lafzo Mein,spotify:track:1WLpFn60WzheoA1CuVkoC8,0.692,0.616,0.782,0.00055,0.109,-8.949,0.102,89.867,0.786,24
